revenue,net_profit,debt_to_equity,fraud_score,avg_balance,expected_decision
54034.13861719222,803.4406262766036,0.0482929585451777,0.0,669.5338552305029,REJECT
32512.781211782185,775.3526645996583,0.0457384614244093,0.0,646.1272204997152,APPROVE
60970.829903601,154.87883473708374,0.1544001426996455,0.0,129.06569561423643,APPROVE
122813.70406956364,899.021254852114,0.1005592551059492,0.0,749.1843790434283,APPROVE
30111.947540010104,3218.947768586097,0.1163480625200094,15.0,2682.456473821748,APPROVE
30112.343039530668,289.552423671625,0.0261303084886662,0.0,241.2936863930208,REJECT
128459.66620921556,4701.298792092259,0.1470889485285617,0.0,3917.748993410216,APPROVE
67100.56769272883,2398.8498979884785,0.0919414455119388,15.0,1999.0415816570653,REJECT
24944.795725156306,553.5405002419845,0.0150720320658627,0.0,461.2837502016537,APPROVE
56052.72445316485,1127.2985008611497,0.1147401961987163,0.0,939.4154173842912,APPROVE
25065.95539706193,9094.28138899374,0.0649973753278982,0.0,7578.56782416145,APPROVE
25019.635038996603,3221.725237868006,0.0844715730928684,0.0,2684.7710315566715,REJECT
44071.55390989296,1350.1288251054368,0.0372978004499732,15.0,1125.1073542545307,APPROVE
7858.69471055999,1004.449517507149,0.0916440255278204,0.0,837.0412645892908,APPROVE
9136.802195145485,1464.6122220222578,0.0110404079907411,0.0,1220.510185018548,APPROVE
23159.72312200898,722.9200516943856,0.0260451598529648,0.0,602.433376411988,APPROVE
16150.965396421829,106.88093951725048,0.1439320709229139,30.0,89.06744959770873,APPROVE
46695.25656789534,15491.21548969358,0.0795781215967845,0.0,12909.346241411316,APPROVE
17563.54523706802,1609.7028988035745,0.0537618712962857,15.0,1341.419082336312,REJECT
11732.957473914112,2154.236452035705,0.0747855797627639,0.0,1795.197043363088,APPROVE
117303.3994614017,1246.2889906349046,0.1139267533789991,15.0,1038.5741588624203,REJECT
30314.425266544447,552.9539616881001,0.0624504093425497,0.0,460.7949680734168,APPROVE
38331.31878073848,1068.8146716091976,0.2332727871578889,0.0,890.6788930076646,APPROVE
11616.728508257049,196.005200564877,0.1003155964139162,15.0,163.33766713739752,REJECT
23493.846631575143,20535.671059429114,0.0796862682740323,0.0,17113.059216190926,APPROVE
39685.37741578479,303.6878938018455,0.0057967759947994,15.0,253.07324483487125,APPROVE
14460.920297656989,387.2441475707405,0.0446616610794375,0.0,322.7034563089504,APPROVE
49048.18271561822,787.6894094706846,0.065547649748793,0.0,656.4078412255705,REJECT
22459.951032144232,6267.330446339671,0.0101017092447415,0.0,5222.775371949726,APPROVE
